student_id,attendance,previous_performance,internal_marks,assignment_score,engagement,study_hours,target
SYN1087,78.17,88.97,61.91,75.36,75.26,2.7,0
SYN1088,84.73,57.66,98.65,51.81,84.8,4.8,0
SYN1089,84.25,58.2,78.44,75.92,59.96,6.4,0
SYN1090,87.32,70.03,68.39,87.57,74.68,7.0,0
SYN1091,76.62,61.07,54.3,52.25,47.37,3.2,1
SYN1092,72.07,80.23,53.45,54.88,73.79,6.4,0
SYN1093,76.88,28.97,25.65,31.34,46.28,2.9,1
SYN1094,54.38,51.77,58.35,69.68,79.63,8.2,1
SYN1095,57.74,52.48,69.52,71.01,99.79,2.2,0
SYN1096,59.48,27.87,28.97,43.86,57.8,7.2,1
SYN1097,64.04,49.58,46.11,62.75,20.53,3.2,1
SYN1098,83.6,50.36,44.52,58.08,50.13,8.5,1
SYN1099,65.32,61.78,41.39,58.3,82.17,5.7,1
SYN1100,72.71,82.81,61.3,62.46,69.96,2.5,0
SYN1101,96.19,61.08,33.18,85.21,64.48,3.5,0
SYN1102,73.01,48.51,70.93,82.28,78.16,6.1,0
SYN1103,88.33,64.09,78.67,68.46,68.72,6.6,0
SYN1104,64.93,81.79,53.39,83.66,81.92,4.4,0
SYN1105,75.12,49.38,19.06,55.35,76.55,4.6,1
SYN1106,64.7,50.43,40.64,76.5,87.39,6.0,1
SYN1107,73.25,73.94,81.54,71.94,66.46,4.8,0
SYN1108,89.76,61.46,19.35,65.63,76.29,1.9,1
SYN1109,53.82,75.36,47.87,72.66,54.47,2.9,1
SYN1110,84.08,64.78,44.31,52.83,49.17,5.0,1
SYN1111,81.33,76.23,77.08,84.66,90.72,6.9,0
SYN1112,69.68,48.44,47.85,77.24,63.89,7.7,1
SYN1113,57.76,64.81,62.02,28.38,74.49,6.1,1
SYN1114,79.01,61.63,72.2,86.31,62.23,5.1,0
SYN1115,70.59,45.55,90.87,20.0,49.44,6.0,0
SYN1116,81.26,39.98,59.93,58.61,60.2,3.2,0
SYN1117,78.31,75.97,68.74,90.93,85.85,4.2,0
SYN1118,100.0,59.38,44.69,66.03,69.99,2.9,0
SYN1119,74.65,48.64,81.31,36.56,29.19,2.0,0
SYN1120,63.67,63.46,44.29,50.22,56.13,5.2,1
SYN1121,80.51,83.05,53.59,92.82,92.08,4.9,0
SYN1122,81.08,28.51,62.94,37.82,56.15,5.9,1
SYN1123,97.03,41.05,42.33,75.0,27.59,5.6,1
SYN1124,89.69,50.23,70.22,77.18,94.07,5.0,0
SYN1125,83.0,88.38,80.44,53.59,72.28,5.6,0
SYN1126,98.49,69.52,74.39,58.67,58.74,4.4,0
SYN1127,61.36,77.28,29.4,50.53,53.31,5.3,1
SYN1128,69.04,46.76,57.0,86.63,79.48,3.0,0
SYN1129,65.03,47.09,70.31,75.86,50.24,5.2,1
SYN1130,72.54,72.17,28.4,48.2,80.67,5.8,1
SYN1131,58.73,65.93,37.22,64.67,69.76,3.2,1
SYN1132,86.89,73.78,80.25,56.16,64.4,4.6,0
SYN1133,74.89,62.0,65.74,87.98,62.62,3.3,0
SYN1134,57.41,69.45,62.03,46.6,56.85,3.4,1
SYN1135,63.78,67.53,88.87,97.5,78.82,2.3,0
SYN1136,82.39,77.44,71.75,62.62,44.42,7.0,0
SYN1137,89.73,77.91,77.52,41.61,30.81,6.6,0
SYN1138,100.0,39.08,100.0,60.95,71.06,5.6,0
SYN1139,100.0,29.04,66.31,59.18,71.36,8.4,0
SYN1140,83.8,81.03,50.71,51.27,68.64,4.1,0
SYN1141,64.15,84.0,64.66,71.42,67.34,10.6,0
SYN1142,48.15,48.67,59.25,47.64,54.23,4.0,1
SYN1143,81.75,35.24,54.6,39.33,74.17,5.0,1
SYN1144,66.62,66.58,40.71,61.85,59.18,3.7,1
SYN1145,72.18,79.89,98.2,38.12,51.23,5.2,0
SYN1146,69.43,93.76,64.8,54.83,54.39,6.2,0
SYN1147,76.03,73.26,49.1,65.06,96.37,4.3,0
SYN1148,92.92,59.05,83.03,45.35,28.77,8.1,0
SYN1149,80.2,50.71,61.15,100.0,69.0,5.0,0
SYN1150,75.78,65.18,57.16,59.58,29.78,5.0,1
SYN1151,63.5,60.21,66.72,70.89,58.05,2.7,0
SYN1152,54.55,48.76,32.07,38.8,52.19,5.3,1
SYN1153,71.19,97.78,65.85,46.72,22.47,4.2,0
SYN1154,77.25,93.56,94.5,73.12,67.0,3.3,0
SYN1155,100.0,83.18,77.87,50.37,53.16,2.9,0
SYN1156,79.82,50.27,56.48,70.08,22.21,9.8,1
SYN1157,91.76,78.68,58.43,54.29,75.11,4.0,0
SYN1158,71.01,75.23,52.81,71.24,85.83,1.6,0
SYN1159,61.41,72.08,52.11,67.05,86.82,3.1,0
SYN1160,64.49,84.99,51.09,72.19,66.46,4.4,0
SYN1161,67.85,75.17,74.27,58.43,60.83,5.6,0
SYN1162,100.0,76.84,40.48,70.91,83.91,5.6,0
SYN1163,66.5,75.19,72.86,73.34,90.28,5.9,0
SYN1164,89.74,70.45,59.9,62.89,80.4,3.2,0
SYN1165,65.36,36.46,64.22,69.99,43.05,5.2,1
SYN1166,91.04,66.34,47.64,72.46,63.62,2.7,0
SYN1167,83.39,56.1,86.72,68.84,67.91,3.3,0
SYN1168,75.81,44.52,82.65,51.56,27.43,2.7,0
SYN1169,77.43,91.91,78.35,82.28,68.45,2.1,0
SYN1170,68.83,92.66,33.28,76.25,100.0,6.6,0
SYN1171,84.25,86.75,78.53,66.65,71.52,5.9,0
SYN1172,71.63,69.08,66.89,77.32,86.52,6.5,0
SYN1173,60.84,86.61,28.94,94.23,63.29,4.6,1
SYN1174,60.11,65.19,55.57,47.29,58.68,6.1,1
SYN1175,80.42,68.24,69.29,81.4,66.86,1.0,0
SYN1176,100.0,47.5,79.39,34.99,45.32,6.2,0
SYN1177,80.24,71.35,66.03,65.85,42.65,4.9,0
SYN1178,76.34,65.97,66.61,98.26,82.79,5.8,0
SYN1179,82.0,44.16,88.69,82.53,84.7,5.3,0
SYN1180,96.28,64.18,89.48,65.0,42.16,2.5,0
SYN1181,81.07,63.72,16.31,64.61,77.42,1.5,1
SYN1182,72.25,93.76,54.83,67.79,58.43,3.1,0
SYN1183,93.49,79.31,64.86,65.85,66.12,5.6,0
SYN1184,84.0,65.18,34.55,58.49,68.28,5.9,1
SYN1185,99.5,68.98,71.36,68.81,77.9,1.8,0
SYN1186,80.57,65.71,84.37,71.22,61.49,2.5,0
SYN1187,60.86,61.75,37.77,63.9,85.38,3.1,1
SYN1188,58.85,47.68,61.26,57.37,65.57,3.8,1
SYN1189,100.0,62.58,54.37,50.77,71.24,1.8,0
SYN1190,100.0,53.06,58.52,69.15,45.0,1.7,0
SYN1191,75.49,44.99,86.48,87.63,98.86,2.9,0
SYN1192,72.64,73.18,51.14,73.8,68.46,4.7,0
SYN1193,98.46,71.26,77.26,86.12,72.83,2.1,0
SYN1194,62.5,36.41,25.0,60.43,31.05,4.3,1
SYN1195,65.47,63.04,89.51,69.23,45.19,6.6,0
SYN1196,87.01,80.93,75.64,79.04,82.28,1.9,0
SYN1197,72.48,81.95,57.21,67.97,65.16,4.1,0
SYN1198,77.93,81.41,71.99,49.5,25.55,6.5,0
SYN1199,75.71,65.62,37.47,100.0,78.69,3.7,0
SYN1200,82.73,51.48,83.99,58.08,50.21,3.4,0
SYN1201,97.7,47.66,63.62,65.42,85.4,6.8,0
SYN1202,79.27,70.51,59.21,73.83,58.42,3.9,0
SYN1203,87.02,71.07,57.04,72.68,63.68,6.7,0
SYN1204,49.3,85.6,42.32,53.09,81.22,5.4,1
SYN1205,77.32,82.6,73.81,79.79,43.85,3.8,0
SYN1206,66.19,62.88,62.46,61.02,42.13,5.5,1
SYN1207,60.94,45.09,67.35,50.07,56.46,5.1,1
SYN1208,65.71,59.89,57.79,90.09,74.89,6.5,0
SYN1209,73.32,68.48,69.32,70.0,36.04,3.4,0
SYN1210,90.82,61.77,59.61,39.82,29.98,4.6,0
SYN1211,59.43,55.75,93.65,98.9,74.83,4.4,0
SYN1212,78.43,69.05,35.74,74.42,49.15,5.9,1
SYN1213,71.22,56.94,81.31,65.53,52.94,2.4,0
SYN1214,73.41,54.95,83.88,81.62,26.58,6.5,0
SYN1215,92.04,69.98,52.66,66.52,47.78,5.4,0
SYN1216,85.53,58.57,100.0,67.33,59.86,1.9,0
SYN1217,96.72,68.91,85.71,62.92,76.75,6.9,0
SYN1218,75.84,69.37,77.99,72.36,46.12,9.0,0
SYN1219,68.26,46.77,59.31,83.89,89.83,6.5,0
SYN1220,74.87,57.3,57.45,64.32,47.68,7.4,1
SYN1221,81.39,88.0,59.87,52.25,47.7,4.7,0
SYN1222,80.47,46.41,69.74,78.04,87.67,1.2,0
SYN1223,62.82,31.13,80.75,67.89,63.81,0.8,1
SYN1224,79.27,35.21,65.76,44.81,50.06,5.0,1
SYN1225,81.2,65.47,47.87,44.88,57.21,3.3,0
SYN1226,100.0,65.49,83.96,83.58,84.36,2.7,0
SYN1227,100.0,63.12,85.6,36.68,86.39,4.4,0
SYN1228,66.05,84.43,69.19,66.46,45.3,5.7,0
SYN1229,73.98,22.23,73.5,60.4,59.24,1.6,0
SYN1230,57.51,71.33,50.46,87.9,61.62,3.6,1
SYN1231,69.73,89.98,43.55,55.07,42.25,7.5,1
SYN1232,82.42,46.96,49.03,77.38,59.0,2.3,0
SYN1233,94.88,58.92,40.35,61.87,60.1,6.2,0
SYN1234,67.79,52.95,62.7,75.66,80.52,3.5,0
SYN1235,68.84,50.69,57.61,85.36,81.73,5.6,0
SYN1236,47.94,59.78,44.24,59.07,54.07,6.7,1
SYN1237,75.72,87.84,15.0,81.59,56.15,6.0,1
SYN1238,63.13,94.4,35.83,56.47,71.96,6.3,1
SYN1239,70.59,59.62,78.7,69.05,49.47,2.2,0
SYN1240,65.72,95.48,46.64,84.81,70.6,6.7,0
SYN1241,76.68,65.57,67.91,77.22,58.42,2.8,0
SYN1242,53.39,93.06,29.99,91.31,42.55,5.0,1
SYN1243,57.46,63.51,79.51,51.18,42.78,5.0,1
SYN1244,100.0,67.1,67.49,54.92,86.05,5.5,0
SYN1245,59.98,70.85,60.86,52.03,57.18,5.2,1
SYN1246,62.65,100.0,94.87,86.56,89.53,2.8,0
SYN1247,100.0,78.62,95.72,72.49,50.75,1.8,0
SYN1248,100.0,53.68,64.73,70.9,65.24,6.2,0
SYN1249,61.6,80.5,46.42,62.95,100.0,4.9,0
SYN1250,72.84,59.21,54.9,73.58,40.97,6.8,1
SYN1251,82.78,57.16,72.58,39.18,25.84,4.4,0
SYN1252,100.0,79.54,68.15,92.12,83.16,1.7,0
SYN1253,64.18,65.5,50.68,95.33,45.12,6.4,1
SYN1254,74.57,69.46,85.98,73.18,59.63,3.8,0
SYN1255,88.88,65.22,64.11,73.38,49.45,5.2,0
SYN1256,84.09,70.39,100.0,61.85,64.83,3.2,0
SYN1257,72.73,71.8,61.93,35.51,42.89,7.8,1
SYN1258,76.13,34.01,91.93,57.78,56.76,2.7,0
SYN1259,58.75,75.67,61.57,53.83,68.1,3.8,1
SYN1260,74.67,49.29,77.44,40.64,41.85,4.7,0
SYN1261,74.27,41.92,48.61,89.85,47.4,2.3,1
SYN1262,81.25,64.07,48.87,70.01,53.75,5.2,0
SYN1263,70.23,66.34,67.34,65.78,34.28,7.7,1
SYN1264,84.6,53.9,81.36,60.87,52.39,3.5,0
SYN1265,92.18,78.3,67.88,65.85,62.14,5.3,0
SYN1266,80.18,43.53,41.13,80.11,52.81,0.5,1
SYN1267,82.92,58.49,40.84,65.84,55.12,4.4,1
SYN1268,78.74,55.64,38.24,75.65,59.64,3.9,1
SYN1269,78.0,64.25,32.19,61.31,48.2,2.9,1
SYN1270,67.9,69.46,60.56,66.4,72.44,6.7,0
SYN1271,82.43,48.87,82.92,54.45,85.85,3.8,0
SYN1272,76.64,76.59,61.53,35.62,51.64,4.1,0
SYN1273,100.0,66.01,31.51,66.49,68.73,3.7,0
SYN1274,100.0,34.73,66.7,67.35,55.69,0.7,0
SYN1275,83.4,33.66,61.36,50.48,66.58,2.2,0
SYN1276,67.32,64.8,94.13,75.73,88.18,6.4,0
SYN1277,62.43,61.46,32.02,71.35,69.16,0.5,1
SYN1278,94.68,63.35,61.44,25.88,28.08,3.0,0
SYN1279,81.68,64.55,92.53,56.51,68.17,3.7,0
SYN1280,84.72,68.61,72.24,80.56,82.19,8.0,0
SYN1281,53.58,80.16,63.27,72.41,56.01,6.0,1
SYN1282,90.98,47.22,68.73,55.86,77.92,3.4,0
SYN1283,84.36,46.25,70.07,66.45,47.58,7.1,0
SYN1284,62.45,47.51,70.02,75.11,33.26,3.0,1
SYN1285,71.4,69.62,46.17,80.22,62.54,6.5,1
SYN1286,81.69,84.92,78.46,56.88,28.38,1.8,0
SYN1287,78.73,58.1,39.15,59.48,55.68,6.6,1
SYN1288,73.91,24.97,66.39,65.3,83.16,3.7,0
SYN1289,76.55,37.74,64.77,64.5,25.62,2.4,1
SYN1290,74.47,51.67,50.52,63.81,36.97,4.1,1
SYN1291,80.14,56.08,62.6,71.66,41.42,5.1,0
SYN1292,98.6,58.47,58.87,69.43,58.86,3.5,0
SYN1293,42.07,65.62,31.44,78.1,53.42,5.6,1
SYN1294,74.68,60.01,55.07,76.77,85.18,3.3,0
SYN1295,80.47,81.79,44.33,84.72,77.18,5.7,0
SYN1296,82.14,54.18,69.18,83.53,68.91,5.4,0
SYN1297,72.79,51.2,40.87,56.51,62.62,4.4,1
SYN1298,53.41,72.66,65.73,42.8,67.08,3.6,1
SYN1299,82.59,40.43,43.76,86.29,44.48,4.8,1
SYN1300,100.0,71.24,60.31,76.27,75.43,5.6,0
SYN1301,56.53,66.64,44.1,36.07,39.98,8.6,1
SYN1302,90.09,62.64,89.0,61.6,75.04,6.4,0
SYN1303,73.4,90.41,66.24,85.78,81.35,6.5,0
SYN1304,77.14,55.04,58.34,64.73,63.8,10.7,0
SYN1305,63.26,97.96,65.56,59.16,56.83,5.5,0
SYN1306,73.32,61.39,24.78,90.97,67.21,5.5,1
SYN1307,96.2,44.57,67.88,37.08,10.0,5.9,0
SYN1308,86.16,66.12,99.05,57.46,65.44,2.5,0
SYN1309,100.0,47.78,72.19,70.35,57.96,3.6,0
SYN1310,94.48,52.97,69.16,73.38,59.09,3.5,0
SYN1311,84.15,71.35,73.71,79.06,72.72,5.8,0
SYN1312,100.0,73.89,85.17,81.06,58.65,4.2,0
SYN1313,84.15,55.05,30.43,64.62,39.48,4.8,1
SYN1314,89.59,80.8,37.7,74.37,57.45,6.7,0
SYN1315,73.85,83.52,64.36,64.27,61.22,6.2,0
SYN1316,78.93,87.98,50.41,69.35,62.07,4.2,0
SYN1317,68.24,73.47,81.12,70.28,62.91,3.2,0
SYN1318,91.85,86.81,61.73,76.64,78.71,6.8,0
SYN1319,61.5,34.91,23.57,73.52,40.45,6.0,1
SYN1320,88.95,59.91,44.51,77.07,63.16,1.3,0
SYN1321,75.33,51.13,15.0,75.42,83.22,3.9,1
SYN1322,94.4,66.91,64.0,46.29,28.78,4.8,0
SYN1323,88.51,55.86,62.72,69.78,63.23,6.1,0
SYN1324,100.0,62.34,62.72,64.21,49.46,6.3,0
SYN1325,88.23,95.11,84.16,68.69,53.33,5.1,0
SYN1326,55.99,62.28,74.91,94.91,43.71,5.7,1
SYN1327,77.06,71.62,59.01,59.02,56.95,4.6,0
SYN1328,61.59,61.28,20.21,84.07,93.14,3.2,1
SYN1329,70.74,66.21,70.19,77.0,37.24,4.0,0
SYN1330,99.16,65.1,79.08,62.95,38.95,4.5,0
SYN1331,86.93,72.17,70.62,92.76,36.57,4.4,0
SYN1332,68.21,83.64,75.5,71.45,91.09,0.7,0
SYN1333,63.81,91.36,37.47,70.16,51.68,3.7,1
SYN1334,78.46,69.95,96.55,55.68,59.54,4.6,0
SYN1335,60.97,74.43,39.97,60.35,52.75,3.9,1
SYN1336,68.6,46.59,71.69,66.42,43.0,4.0,1
SYN1337,82.37,63.59,35.09,79.21,55.77,5.5,1
SYN1338,94.17,80.04,52.09,84.58,100.0,2.3,0
SYN1339,86.52,78.86,91.0,94.2,85.06,1.2,0
SYN1340,45.92,68.39,46.57,61.77,44.65,3.8,1
SYN1341,82.26,79.18,78.01,66.31,71.66,6.0,0
SYN1342,79.01,72.85,66.62,95.3,45.03,7.9,0
SYN1343,83.79,84.2,62.49,64.11,28.03,6.1,0
SYN1344,100.0,69.63,93.13,62.51,78.35,1.6,0
SYN1345,49.11,59.31,48.11,63.65,80.88,4.0,1
SYN1346,69.72,70.37,29.07,59.3,78.83,5.0,1
SYN1347,86.27,20.0,51.47,79.31,51.54,4.9,1
SYN1348,55.86,71.13,63.86,61.42,57.0,5.6,1
SYN1349,98.66,20.0,76.19,73.75,73.5,2.7,0
SYN1350,83.16,37.42,37.4,68.96,67.05,4.6,1
SYN1351,89.85,72.23,54.08,76.64,52.91,5.3,0
SYN1352,70.01,72.64,49.55,46.35,30.86,6.2,1
SYN1353,89.39,46.4,60.02,52.28,62.05,2.9,0
SYN1354,92.96,53.61,44.08,76.98,79.42,3.8,0
SYN1355,81.26,86.93,52.7,70.34,38.44,0.5,0
SYN1356,81.28,57.26,51.0,76.23,71.5,3.3,0
SYN1357,81.78,100.0,76.68,57.44,65.97,3.5,0
SYN1358,65.91,64.97,71.77,82.0,73.5,2.5,0
SYN1359,75.93,71.53,59.03,61.34,75.7,4.8,0
SYN1360,75.86,90.87,54.83,56.22,47.5,4.4,0
SYN1361,83.37,67.1,66.5,44.9,30.89,0.5,0
SYN1362,92.0,48.96,53.26,84.43,50.4,4.9,0
SYN1363,63.18,63.24,37.55,82.09,76.0,2.6,1
SYN1364,76.25,64.43,45.65,73.94,50.24,5.5,1
SYN1365,98.74,43.16,58.71,82.76,47.51,1.9,0
SYN1366,67.59,60.91,38.82,89.96,27.22,4.6,1
SYN1367,66.49,53.12,60.97,51.62,91.55,3.9,0
SYN1368,80.83,79.79,75.64,61.17,74.86,5.1,0
SYN1369,89.82,65.55,39.4,62.71,73.86,4.7,0
SYN1370,78.16,60.48,62.72,60.26,77.42,4.0,0
SYN1371,96.61,63.3,65.01,54.75,70.38,1.4,0
SYN1372,90.0,68.57,72.25,61.98,55.6,1.5,0
SYN1373,89.79,74.87,66.15,48.66,57.05,3.3,0
SYN1374,85.76,49.0,40.24,70.51,52.3,4.5,1
SYN1375,100.0,48.33,48.48,80.57,100.0,3.3,0
SYN1376,75.13,82.67,61.73,78.02,70.01,5.8,0
SYN1377,49.95,58.4,69.91,72.91,51.65,3.9,1
SYN1378,100.0,42.33,32.3,79.36,68.38,2.6,0
SYN1379,71.59,72.1,65.88,56.73,41.8,3.9,0
SYN1380,79.51,72.41,82.99,100.0,87.08,5.0,0
SYN1381,96.33,40.51,66.05,67.74,48.1,5.1,0
SYN1382,55.57,68.67,63.74,42.56,69.02,8.3,1
SYN1383,60.48,76.77,44.16,58.51,79.19,3.2,1
SYN1384,55.58,70.99,52.36,43.76,66.93,4.4,1
SYN1385,66.88,75.11,30.79,68.56,61.7,5.4,1
SYN1386,84.15,42.53,24.54,66.02,60.19,4.5,1
SYN1387,85.34,70.3,80.84,60.46,58.98,3.5,0
SYN1388,81.87,60.16,46.85,94.84,49.62,1.4,0
SYN1389,58.22,57.28,47.58,73.6,51.91,3.5,1
SYN1390,45.66,78.93,27.35,86.67,86.63,2.4,1
SYN1391,78.76,88.67,38.53,53.24,58.05,1.0,0
SYN1392,71.4,93.71,56.97,48.56,45.86,2.9,0
SYN1393,84.43,86.04,52.09,65.56,50.71,2.4,0
SYN1394,87.83,63.24,72.11,76.34,79.81,5.7,0
SYN1395,79.94,70.64,70.61,43.6,72.16,5.7,0
SYN1396,88.64,77.27,71.41,68.12,70.09,2.7,0
SYN1397,81.21,66.94,67.42,66.61,55.36,4.0,0
SYN1398,85.42,67.09,91.66,67.66,70.32,0.8,0
SYN1399,68.13,78.18,40.63,52.12,48.42,3.5,1
SYN1400,75.49,64.05,60.43,58.3,55.33,5.3,0
SYN1401,80.75,53.33,82.46,70.38,77.46,6.1,0
SYN1402,89.49,58.37,87.76,73.88,75.74,3.1,0
SYN1403,72.49,75.14,36.14,71.56,42.33,6.6,1
SYN1404,85.3,65.05,59.48,79.38,44.6,1.5,0
SYN1405,74.28,70.44,84.03,63.96,61.96,2.0,0
SYN1406,76.35,75.72,70.3,70.27,91.07,5.9,0
SYN1407,89.61,59.0,69.62,64.01,25.52,7.8,0
SYN1408,50.1,77.1,48.77,78.46,65.01,5.5,1
SYN1409,59.85,71.06,49.37,53.85,35.23,4.4,1
SYN1410,57.25,45.24,59.88,76.23,48.58,0.5,1
SYN1411,45.33,88.08,46.51,80.52,53.44,0.5,1
SYN1412,68.5,56.99,58.19,84.9,52.43,4.8,1
SYN1413,88.49,38.52,67.25,91.58,50.39,3.8,0
SYN1414,74.01,48.28,49.31,54.83,60.13,2.3,1
SYN1415,80.77,48.66,72.26,65.11,50.37,4.6,0
SYN1416,93.25,65.83,100.0,60.07,33.68,4.7,0
SYN1417,96.59,60.62,38.54,70.54,74.04,6.4,0
SYN1418,77.03,59.61,67.41,62.12,73.55,4.8,0
SYN1419,96.95,74.92,55.95,50.07,75.18,7.0,0
SYN1420,79.29,70.44,72.51,60.86,32.27,4.5,0
SYN1421,66.28,70.06,58.93,57.88,65.38,4.3,0
SYN1422,69.68,71.56,72.28,72.73,72.17,6.6,0
SYN1423,57.27,74.86,74.96,50.32,41.44,2.5,1
SYN1424,65.57,31.27,61.16,51.35,60.17,10.1,1
SYN1425,72.99,59.17,79.73,70.68,57.91,5.3,0
SYN1426,89.25,30.12,26.33,80.0,93.16,5.3,1
SYN1427,100.0,65.58,96.98,86.88,94.64,5.6,0
SYN1428,58.65,64.93,61.85,90.81,30.04,8.3,1
SYN1429,83.5,81.73,82.48,83.95,100.0,6.1,0
SYN1430,63.43,84.0,36.4,70.13,43.53,1.3,1
SYN1431,84.65,68.24,50.45,56.93,77.65,7.3,0
SYN1432,76.16,56.99,64.07,53.73,77.47,3.8,0
SYN1433,52.37,72.76,52.98,86.16,42.08,4.7,1
SYN1434,91.0,56.55,71.6,56.61,68.88,1.9,0
